,muni,numero_de_cenotes
17,3100096,285
4,3100036,148
2,3100076,129
8,3100102,117
44,3100019,98
3,3100015,88
72,3100085,85
88,3100079,78
51,3100029,69
39,3100006,68
25,3100069,56
1,3100023,53
18,3100104,52
13,3100080,48
29,3100050,36
20,3100017,30
77,3100092,30
27,3100045,28
0,3100001,27
34,3100057,25
45,3100021,25
7,3100030,25
16,3100037,25
78,3100093,24
40,3100010,21
31,3100097,18
33,3100042,16
53,3100038,15
50,3100027,14
35,3100033,14
21,3100062,13
5,3100064,13
70,3100081,12
26,3100101,12
11,3100002,11
10,3100091,11
54,3100040,11
89,3100008,10
41,3100007,9
32,3100011,9
62,3100059,9
64,3100066,9
67,3100072,9
69,3100078,8
47,3100022,8
24,3100052,8
28,3100048,7
90,3100070,7
6,3100012,7
83,3100032,7
57,2300007,7
22,3100014,6
38,3100005,6
30,3100060,6
15,3100067,6
9,3100043,5
80,3100099,5
79,3100095,5
14,3100034,5
75,3100088,5
43,3100018,5
61,3100055,4
82,3100106,4
63,3100063,4
65,2300008,4
23,3100028,4
19,3100046,4
71,3100084,4
48,3100024,4
37,3100004,4
59,3100053,3
12,3100090,3
52,3100031,2
81,3100100,2
42,3100009,2
91,3100003,2
92,3100071,2
36,3100035,2
55,3100041,2
60,3100054,2
74,3100087,2
73,3100086,2
58,3100047,2
68,3100074,2
66,3100068,2
76,3100089,1
56,3100044,1
84,3100058,1
85,3100061,1
86,3100065,1
87,3100077,1
49,3100013,1
46,3100020,1
93,3100049,1
